Number of objects: 10000

Initial data:
Circle 36, 20, 50 blue
Circle 62, 40, 50 orange
Circle 0, 95, 50 red
Circle 95, 57, 50 indigo
Circle 84, 54, 50 green
Circle 91, 29, 50 blue
Circle 71, 87, 50 orange
Circle 0, 94, 50 red
Circle 97, 74, 50 indigo
Circle 11, 65, 50 red
Circle 85, 74, 50 orange
Circle 83, 12, 50 green
Circle 27, 39, 50 orange
Circle 75, 72, 50 yellow
Circle 65, 45, 50 indigo
Circle 76, 67, 50 indigo
Circle 58, 73, 50 violet
Circle 92, 10, 50 indigo
Circle 2, 20, 50 indigo
Circle 21, 99, 50 red
Circle 87, 91, 50 violet
Circle 39, 67, 50 red
Circle 91, 55, 50 indigo
Circle 27, 89, 50 red
Circle 86, 23, 50 green
Circle 11, 45, 50 indigo
Circle 71, 87, 50 yellow
Circle 52, 23, 50 blue
Circle 5, 77, 50 green
Circle 11, 72, 50 red
Circle 10, 60, 50 yellow
Circle 49, 99, 50 yellow
Circle 43, 31, 50 yellow
Circle 58, 0, 50 red
Circle 16, 54, 50 indigo
Circle 73, 70, 50 orange
Circle 91, 80, 50 violet
Circle 28, 50, 50 blue
Circle 24, 71, 50 indigo
Circle 29, 47, 50 blue
Circle 92, 8, 50 blue
Circle 59, 12, 50 orange
Circle 17, 10, 50 yellow
Circle 87, 7, 50 orange
Circle 42, 74, 50 violet
Circle 22, 72, 50 blue
Circle 52, 12, 50 orange
Circle 73, 64, 50 violet
Circle 49, 8, 50 blue
Circle 18, 73, 50 indigo
Circle 55, 4, 50 orange
Circle 80, 53, 50 violet
Circle 97, 80, 50 indigo
Circle 90, 6, 50 yellow
Circle 29, 31, 50 yellow
Circle 91, 55, 50 green
Circle 54, 15, 50 indigo
Circle 75, 64, 50 yellow
Circle 29, 62, 50 blue
Circle 7, 45, 50 red
Circle 94, 4, 50 yellow
Circle 85, 16, 49 indigo
Circle 41, 98, 49 blue
Circle 98, 85, 49 indigo
Circle 23, 67, 49 violet
Circle 83, 15, 49 green
Circle 33, 89, 49 yellow
Circle 54, 13, 49 orange
Circle 73, 0, 49 indigo
Circle 13, 90, 49 yellow
Circle 46, 48, 49 green
Circle 19, 45, 49 indigo
Circle 93, 17, 49 indigo
Circle 75, 21, 49 violet
Circle 66, 10, 49 indigo
Circle 95, 97, 49 green
Circle 79, 53, 49 blue
Circle 9, 71, 49 blue
Circle 39, 7, 49 green
Circle 37, 22, 49 orange
Circle 22, 48, 49 yellow
Circle 42, 52, 49 violet
Circle 20, 58, 49 indigo
Circle 60, 67, 49 red
Circle 85, 8, 49 green
Circle 1, 24, 49 green
Circle 51, 26, 49 blue
Circle 88, 36, 49 green
Circle 84, 27, 49 blue
Circle 34, 20, 49 blue
Circle 84, 22, 49 green
Circle 27, 75, 49 indigo
Circle 60, 27, 49 green
Circle 60, 18, 49 orange
Circle 86, 6, 49 blue
Circle 60, 39, 49 red
Circle 66, 38, 49 red
Circle 85, 73, 49 red
Circle 61, 87, 49 red
Circle 55, 96, 49 green
Circle 10, 14, 49 red
Circle 40, 37, 49 red
Circle 74, 62, 49 green
Circle 31, 60, 49 yellow
Circle 33, 56, 49 violet
Circle 39, 72, 49 red
Circle 27, 2, 49 red
Circle 64, 91, 49 indigo
Circle 12, 68, 49 blue
Circle 86, 83, 49 indigo
Circle 23, 77, 49 orange
Circle 16, 61, 49 red
Circle 42, 5, 49 yellow
Circle 63, 75, 49 green
Circle 46, 18, 49 indigo
Circle 0, 99, 49 green
Circle 2, 16, 49 violet
Circle 99, 15, 49 red
Circle 61, 2, 49 yellow
Circle 3, 82, 49 indigo
Circle 12, 67, 49 blue
Circle 94, 5, 49 indigo
Circle 32, 39, 49 yellow
Circle 21, 49, 49 blue
Circle 19, 67, 49 green
Circle 3, 21, 48 red
Circle 63, 51, 48 orange
Circle 57, 45, 48 blue
Circle 42, 90, 48 red
Circle 86, 64, 48 indigo
Circle 63, 84, 48 violet
Circle 94, 79, 48 blue
Circle 71, 49, 48 green
Circle 98, 18, 48 indigo
Circle 17, 57, 48 indigo
Circle 15, 16, 48 green
Circle 20, 39, 48 red
Circle 54, 76, 48 orange
Circle 20, 13, 48 violet
Circle 25, 87, 48 yellow
Circle 95, 77, 48 blue
Circle 0, 31, 48 red
Circle 81, 0, 48 green
Circle 93, 17, 48 red
Circle 63, 63, 48 blue
Circle 66, 72, 48 orange
Circle 83, 76, 48 red
Circle 24, 9, 48 yellow
Circle 81, 82, 48 green
Circle 50, 68, 48 indigo
Circle 46, 28, 48 yellow
Circle 91, 98, 48 green
Circle 96, 12, 48 yellow
Circle 92, 66, 48 indigo
Circle 24, 32, 48 green
Circle 15, 3, 48 yellow
Circle 19, 98, 48 red
Circle 24, 96, 48 violet
Circle 41, 70, 48 blue
Circle 45, 80, 48 violet
Circle 3, 37, 48 orange
Circle 9, 57, 48 yellow
Circle 3, 10, 48 violet
Circle 35, 65, 48 orange
Circle 68, 71, 48 yellow
Circle 68, 76, 48 indigo
Circle 61, 48, 48 orange
Circle 75, 45, 48 indigo
Circle 14, 22, 48 orange
Circle 45, 68, 48 yellow
Circle 75, 89, 48 green
Circle 46, 49, 48 indigo
Circle 5, 2, 48 yellow
Circle 3, 44, 48 indigo
Circle 80, 36, 48 green
Circle 21, 90, 48 yellow
Circle 4, 81, 48 violet
Circle 11, 35, 48 yellow
Circle 27, 75, 48 green
Circle 45, 69, 48 red
Circle 83, 80, 48 blue
Circle 96, 6, 48 red
Circle 4, 22, 48 yellow
Circle 50, 74, 48 red
Circle 49, 83, 48 orange
Circle 49, 16, 48 yellow
Circle 89, 93, 48 green
Circle 26, 86, 48 indigo
Circle 70, 17, 47 green
